"Order date","Sold-to Party","Ship-to Party","Customer PO No","Sales Order No","Item","Material No","Material Description","Sales UoM","Order Quantity","Delivery Creation Qty","Order Value","Plant","Item Barcode","Order status"
"20230706","2002921603","2002941104","1355618979","115329964","40","80682303","##2#1###########3.7##","CS","39","39","4,422.21","A668","6.90315E+12","50"
"20230706","2002921607","2002921610","1355618810","115330006","90","80682303","##2#1###########3.7##","CS","43","43","4,875.77","A715","6.90315E+12","50"
"20230706","2002920557","2002921386","1355619186","115328734","40","80682303","##2#1###########3.7##","CS","121","121","13,720.19","A672","6.90315E+12","50"
"20230706","2002921582","2002921587","1355619127","115328759","80","80682303","##2#1###########3.7##","CS","27","27","3,061.53","C816","6.90315E+12","50"
"20230706","2002921582","2002921589","1355619236","115328751","40","80682303","##2#1###########3.7##","CS","95","95","10,772.05","C816","6.90315E+12","50"
"20230706","2002921577","2002921674","1355618716","115328743","40","80682303","##2#1###########3.7##","CS","163","163","18,482.57","A673","6.90315E+12","30"
"20230706","2002921577","2002942308","1355618519","115328771","10","80682303","##2#1###########3.7##","CS","11","11","1,247.29","A673","6.90315E+12","50"
"20230706","2002921600","2002921678","1355618929","115328786","90","80682304","##2#1###########700#","CS","9","9","1,155.87","A680","6.90315E+12","50"
"20230706","2002921603","2002941104","1355618979","115329964","50","80682304","##2#1###########700#","CS","9","9","1,155.87","A668","6.90315E+12","50"
"20230706","2002921607","2002921610","1355618810","115330006","100","80682304","##2#1###########700#","CS","3","3","385.29","A715","6.90315E+12","50"
"20230706","2002920557","2002921482","1355619386","115328745","40","80682304","##2#1###########700#","CS","4","4","513.76","A672","6.90315E+12","30"
"20230706","2002920557","2003175465","1355619279","115328742","60","80682304","##2#1###########700#","CS","2","2","256.88","A672","6.90315E+12","30"
"20230706","2002921582","2002921587","1355619127","115328759","90","80682304","##2#1###########700#","CS","2","2","256.88","C816","6.90315E+12","50"
"20230706","2002921577","2002921598","1355619071","115329987","90","80682304","##2#1###########700#","CS","4","4","513.76","A673","6.90315E+12","40"
"20230706","2002921577","2002921674","1355618716","115328743","50","80682304","##2#1###########700#","CS","27","27","3,467.61","A673","6.90315E+12","30"
"20230706","2002921600","2002921601","1355765058","115329544","10","80682870","##############64#","CS","173","173","58,908.23","A680","6.90315E+12","50"
"20230706","2002921600","2002921601","1355778991","115329567","10","80682870","##############64#","CS","113","113","38,477.63","A680","6.90315E+12","50"
"20230706","2002921600","2003190193","1355779115","115329471","10","80682870","##############64#","CS","53","53","18,047.03","A680","6.90315E+12","30"
"20230706","2002921600","2003190193","1355764974","115329521","10","80682870","##############64#","CS","100","100","34,051.00","A680","6.90315E+12","30"
"20230706","2002921603","2002941103","1355764573","115329605","20","80682870","##############64#","CS","21","21","7,150.71","A668","6.90315E+12","30"
"20230706","2002921607","2002921675","1355763790","115329379","10","80682870","##############64#","CS","13","13","4,426.63","A715","6.90315E+12","30"
"20230706","2002921611","2002941153","1355764265","115329641","20","80682870","##############64#","CS","70","70","23,835.70","A716","6.90315E+12","30"
"20230706","2002920557","2002921482","1355766147","115329298","10","80682870","##############64#","CS","38","38","12,939.38","D352","6.90315E+12","30"
"20230706","2002920557","2003213268","1355764811","115329333","20","80682870","##############64#","CS","43","43","14,641.93","D352","6.90315E+12","30"
"20230706","2002920557","2003222613","1355765594","115329245","20","80682870","##############64#","CS","44","44","14,982.44","D352","6.90315E+12","30"
