VBELN,POSNR,MATNR,KDMAT
0115347023,70,000000000080745017,80745017
0115347023,80,000000000080737939,80737939
0115347023,90,000000000082264004,82264004
0115347023,100,000000000080737937,80737937
0115347023,110,000000000082284999,82284999
0115347023,120,000000000080738792,80738792
0115347023,130,000000000080717843,80717843
0115347023,140,000000000082300334,82300334
0115347023,150,000000000080721900,80721900
0115347023,160,000000000080749747,80749747
0115347023,170,000000000080735653,80735653
0115347023,180,000000000080741342,80741342
0115347023,190,000000000080749748,80749748
0115347023,200,000000000080763115,80763115
0115347023,210,000000000080741846,80741846
0115347023,220,000000000080720486,80720486
0115347023,230,000000000082309816,82309816
0115347023,240,000000000080700197,80700197
0115347023,250,000000000080701310,80701310
0115347023,260,000000000082309818,82309818
0115347023,270,000000000080738793,80738793
0115347149,10,000000000082323421,82323421
0115347149,20,000000000082322451,82322451
0115347149,30,000000000082323432,82323432
0115347149,40,000000000082323423,82323423
0115347149,50,000000000082323425,82323425
0115347149,60,000000000082321134,82321134
0115347149,70,000000000082322452,82322452
0115347149,80,000000000082322453,82322453
0115347149,90,000000000082322454,82322454
0115347149,100,000000000080698077,80698077
0115347149,110,000000000080698079,80698079
0115347149,120,000000000080692517,80692517
0115347149,130,000000000080692516,80692516
0115347149,140,000000000080693311,80693311
0115347149,150,000000000080693310,80693310
0115347149,160,000000000080693314,80693314
0115347149,170,000000000080693315,80693315
0115347149,180,000000000080719971,80719971
0115347149,190,000000000080371758,80371758
0115347149,200,000000000080371759,80371759
0115347149,210,000000000080371764,80371764
0115347149,220,000000000082326501,82326501
0115347149,230,000000000082310571,82310571
0115347149,240,000000000082310572,82310572
0115347149,250,000000000080692566,80692566
0115347149,260,000000000080318602,80318602
0115347149,270,000000000080340469,80340469
0115347149,280,000000000080692071,80692071
0115347149,290,000000000080709334,80709334
0115347149,300,000000000080358600,80358600
0115347149,310,000000000082326673,82326673
0115347149,311,000000000082326673,82326673
0115347149,320,000000000080369917,80369917
0115347149,330,000000000080369916,80369916
0115347149,340,000000000080358549,80358549
0115347149,350,000000000080358550,80358550
0115347149,360,000000000080369919,80369919
0115347149,370,000000000080369918,80369918
0115347426,10,000000000080738258,80738258
0115347426,20,000000000080735064,80735064
0115347426,21,000000000080735064,80735064
0115347426,30,000000000080738249,80738249
0115347426,40,000000000080736565,80736565
0115347426,50,000000000080736561,80736561
0115347426,60,000000000080736563,80736563
0115347426,70,000000000080736552,80736552
0115347555,10,000000000080737822,80737822
0115347555,20,000000000080718768,80718768
0115347555,30,000000000082309819,82309819
0115347555,40,000000000080723842,80723842
0115347555,50,000000000080736556,80736556
0115347555,60,000000000080738256,80738256
0115347555,70,000000000080736573,80736573
0115347558,10,000000000080737750,80737750
0115347558,20,000000000080736556,80736556
0115347558,30,000000000080695750,80695750
0115347558,40,000000000080741475,80741475
0115347559,10,000000000080736556,80736556
0115347559,20,000000000080735064,80735064
0115347559,21,000000000080735064,80735064
0115347559,30,000000000080738258,80738258
0115347559,40,000000000080738255,80738255
0115347559,50,000000000080738256,80738256
0115347561,10,000000000080738256,80738256
0115347561,20,000000000080717843,80717843
0115347561,30,000000000080687474,80687474
0115347561,40,000000000082284999,82284999
0115347561,50,000000000080736556,80736556
0115347561,60,000000000080737822,80737822
0115347561,70,000000000080737750,80737750
0115347668,10,000000000080686778,80686778
0115347668,20,000000000080695826,80695826
0115347668,30,000000000080694862,80694862
0115347668,40,000000000080727848,80727848
0115347668,50,000000000080686861,80686861
0115347668,60,000000000080686766,80686766
0115347668,70,000000000082305681,82305681
0115347668,80,000000000080686862,80686862
0115347668,90,000000000080686841,80686841
0115347668,100,000000000082275300,82275300
0115347668,110,000000000080686833,80686833
0115347668,120,000000000080686831,80686831
0115347668,130,000000000080727459,80727459
0115347668,140,000000000080727458,80727458
0115347669,10,000000000080686778,80686778
0115347669,20,000000000080695826,80695826
0115347669,30,000000000080694862,80694862
0115347669,40,000000000080727848,80727848
0115347669,50,000000000080686861,80686861
0115347669,60,000000000080686766,80686766
0115347669,70,000000000082305681,82305681
0115347669,80,000000000080684726,80684726
0115347669,90,000000000080686862,80686862
0115347669,100,000000000080686841,80686841
0115347669,110,000000000082313839,82313839
0115347669,111,000000000082313839,82313839
0115347669,120,000000000082275300,82275300
0115347669,130,000000000080686833,80686833
0115347669,140,000000000080686831,80686831
0115347669,150,000000000080727459,80727459
0115347669,160,000000000080727458,80727458
0115347673,10,000000000080747113,80747113
0115347673,20,000000000080747108,80747108
0115347673,30,000000000080747105,80747105
0115347673,40,000000000080747115,80747115
0115347673,50,000000000080736573,80736573
0115347673,60,000000000080736560,80736560
0115347673,70,000000000080738256,80738256
0115347677,10,000000000080686778,80686778
0115347677,20,000000000080695826,80695826
0115347677,30,000000000080694862,80694862
